STUDY_ID,valid_name,CEN_LATITUDE,CEN_LONGITUDE,taxon,REALM
634,Aythya ferina,62.417468,17.222083,Birds,Terrestrial
582,Aythya fuligula,59.817,22.9,Birds,Terrestrial
634,Aythya fuligula,62.417468,17.222083,Birds,Terrestrial
601,Aythya fuligula,42.915905,28.016112,Birds,Marine
624,Aythya fuligula,51.300151,4.285094,Birds,Freshwater
602,Aythya fuligula,42.416687,27.63608,Birds,Freshwater
603,Aythya fuligula,44.10764,27.07529,Birds,Freshwater
600,Aythya fuligula,43.087639,25.073805,Birds,Freshwater
582,Aythya marila,59.817,22.9,Birds,Terrestrial
602,Aythya marila,42.416687,27.63608,Birds,Freshwater
634,Aythya marila,62.417468,17.222083,Birds,Terrestrial
601,Aythya marila,42.915905,28.016112,Birds,Marine
602,Aythya nyroca,42.416687,27.63608,Birds,Freshwater
600,Aythya nyroca,43.087639,25.073805,Birds,Freshwater
603,Aythya nyroca,44.10764,27.07529,Birds,Freshwater
702,Aythya valisineria,33.6,-112.1,Birds,Terrestrial
595,Azurina hirundo,33.630494,-119.395588,Fish,Marine
702,Baeolophus wollweberi,33.6,-112.1,Birds,Terrestrial
595,Balistes polylepis,33.630494,-119.395588,Fish,Marine
574,Bathyomphalus contortus,57.795037,22.148004,Molluscs,Freshwater
575,Bathyomphalus contortus,57.753096,21.409451,Molluscs,Freshwater
575,Bithynia leachii,57.753096,21.409451,Molluscs,Freshwater
574,Bithynia leachii,57.795037,22.148004,Molluscs,Freshwater
573,Bithynia leachii,57.874002,21.996468,Molluscs,Freshwater
574,Bithynia tentaculata,57.795037,22.148004,Molluscs,Freshwater
575,Bithynia tentaculata,57.753096,21.409451,Molluscs,Freshwater
653,Bithynia tentaculata,43.62586,-77.834925,Molluscs,Freshwater
573,Bithynia tentaculata,57.874002,21.996468,Molluscs,Freshwater
652,Bithynia tentaculata,43.577212,-77.671815,Molluscs,Freshwater
628,Bithynia tentaculata,50.128403,9.282551,Molluscs,Freshwater
651,Blenniella periophthalmus,14.9,148.6,Fish,Marine
651,Bodianus axillaris,14.9,148.6,Fish,Marine
579,Bodianus axillaris,13.401193,144.66287,Fish,Marine
